t,R,size,fillet_div,elements,nodes,mass_kg,sigma_fillet_MPa,sigma_fixed_edge_MPa,sigma_global_max_MPa,SF,deflection_mm,reaction_z_N,equilibrium_err,solve_s
7.19,10.0,8.0,4,7754,13855,0.509215315915468,137.21409409669653,28.615154677679243,137.21409409669653,2.5871977826842407,0.5894154931506849,600.0,0.0,1.3547718524932861
7.19,10.0,6.0,6,16234,27094,0.509215315915468,138.4857064891199,31.052642039659037,138.4857064891199,2.5634414482182715,0.5900313838383838,600.0,0.0,4.568511009216309
7.19,10.0,4.0,8,35785,56999,0.509215315915468,141.19394540956185,32.9627920670066,141.19394540956185,2.514272116769951,0.5903404965986393,600.0,0.0,18.826760292053223
7.19,10.0,3.0,10,66151,102062,0.509215315915468,140.08817740016616,34.71324215339171,140.08817740016616,2.534118200324155,0.5904825402298851,600.0,0.0,101.81762838363647
