d_over_w,hole_divs,r_m,elements,nodes,sigma_max_MPa,kt_gross,kt_net,kt_net_peterson,kt_err_pct,peak_angle_deg,reaction_y_N,equilibrium_err,solve_s
0.1,32,0.005000000000000001,696,2217,308.294,3.08294,2.7746459999999997,2.721143,1.966195822858241,0.0,-25000.0,0.0,0.16843605041503906
0.2,32,0.010000000000000002,860,2715,318.511,3.18511,2.548088,2.506464,1.6606661815210533,0.0,-25000.0,0.0,0.21615099906921387
0.3,32,0.015,1003,3150,340.171,3.40171,2.381197,2.3468009999999997,1.4656547359575889,0.0,-25000.0,0.0,0.2700347900390625
0.4,32,0.020000000000000004,1101,3450,377.409,3.77409,2.264454,2.232992,1.4089616084607792,0.0,-25000.0,0.0,0.28710198402404785
0.5,32,0.025,1128,3537,438.16,4.3816,2.1908,2.155875,1.6199918826462545,0.0,-25000.0,0.0,0.2886819839477539
0.6,32,0.03,1073,3374,535.854,5.35854,2.1434159999999998,2.1062879999999997,1.7627219069756839,0.0,-25000.0,0.0,0.26590490341186523
