size,tag,L_mm,size_mm,elements,nodes,q_f_W,q_f_analytic_W,q_f_err_pct,T_tip_C,T_tip_analytic_C,T_tip_err_C,eta_f,eta_f_analytic,mL,q_conv_W,energy_balance_err_pct,q_reaction_W,q_reaction_err_pct,base_ring_film_share_W,reaction_closure_pct,rfl_film_residual_W,max_nodal_film_load_W,rfl_total_dat_W,rfl_total_frd_W,area_fe_mm2,area_analytic_mm2,dT_axis_max_C,dT_all_max_C,solve_s
D/2,conv_D2,60.0,3.0,508,1095,3.589689,3.6172510603416015,-0.7619614973310318,81.30117272727271,81.31269500456881,-0.011522277296094785,0.8257513980308622,0.8320916157655152,0.7745966692414834,3.614588293454494,0.6936337229908718,3.6153330366520775,-0.05302434521486932,0.025644036652077633,0.020603818114839356,0.00019815934319292704,0.010652531249988549,3.589689,3.58968797,1158.6849740403532,1159.2476891746335,0.013234046062621019,0.018116295134419147,0.2116870880126953
D/4,conv_D4,60.0,1.5,2203,4356,3.602346,3.6172510603416015,-0.41205490282429924,81.3131701923077,81.31269500456881,0.0004751877388855519,0.8286629414667633,0.8320916157655152,0.7745966692414834,3.616546660935187,0.39420591290195706,3.61660457576814,-0.017872261633966602,0.014258575768140089,0.0016013849227558552,1.1561490614752593e-05,0.0033475817674563117,3.602346,3.6023454476,1159.206129909031,1159.2476891746335,0.013749229365032534,0.013749229365032534,0.5831003189086914
D/8,conv_D8,60.0,0.75,19292,30864,3.609431,3.6172510603416015,-0.21618793418400895,81.31392671009772,81.31269500456881,0.001231705528908833,0.8302927340908733,0.8320916157655152,0.7745966692414834,3.616691209108323,0.20114552981682632,3.6166944766903213,-0.015386923439797418,0.0072634766903216,9.034727626033856e-05,9.862749283122332e-07,0.0007349620396752761,3.609431,3.6094323643641,1159.2450759716326,1159.2476891746335,0.013968608615130051,0.013968608615130051,4.4011781215667725
