tag,L_mm,size_mm,elements,nodes,q_f_W,q_f_analytic_W,q_f_err_pct,T_tip_C,T_tip_analytic_C,T_tip_err_C,eta_f,eta_f_analytic,mL,q_conv_W,energy_balance_err_pct,q_reaction_W,q_reaction_err_pct,base_ring_film_share_W,reaction_closure_pct,rfl_film_residual_W,max_nodal_film_load_W,rfl_total_dat_W,rfl_total_frd_W,area_fe_mm2,area_analytic_mm2,dT_axis_max_C,dT_all_max_C,solve_s
sweep_L10,10.0,0.75,3502,5823,0.7991715,0.8069797971524363,-0.9675951219583312,99.19336600660066,99.19484759892902,-0.001481592328360648,0.9831273012804996,0.9927329367505718,0.12909944487358058,0.806854386270015,0.9613563884616871,0.806855100096505,-0.015452314465780326,0.007683600096504982,8.847029924208272e-05,7.139764053143084e-07,0.0008165978156152898,0.7991715,0.799171498316,216.76931222152177,216.76989309769576,0.014065655006191946,0.014065655006191946,0.7114791870117188
sweep_L20,20.0,0.75,6639,10811,1.474113,1.4818961650209155,-0.5252166247967649,97.21302805280529,97.21435497448132,-0.0013269216760392055,0.9699736253272273,0.9750949863028496,0.25819888974716115,1.4816474827947907,0.5111197577655657,1.4816492325607653,-0.016663276819173234,0.007536232560765226,0.0001180959705138207,7.97109830044879e-07,0.0007948039232277763,1.474113,1.4741126897669,405.26447974111534,405.26545231308336,0.01405924729137098,0.01405924729137098,1.5041639804840088
sweep_L40,40.0,0.75,13118,21075,2.673774,2.681669103342611,-0.2944100497995983,90.40079576547232,90.40090238811074,-0.00010662263841254571,0.9114738394872061,0.9141652338073087,0.5163977794943223,2.681224760091282,0.27866080271863325,2.6812269860816373,-0.016486644844537768,0.007452986081637267,8.30214008207264e-05,6.823160131386335e-07,0.0006968210468083009,2.673774,2.673774587929,782.2548373478468,782.2565707438584,0.01403161665231778,0.01403161665231778,3.2286629676818848
conv_D8,60.0,0.75,19292,30864,3.609431,3.6172510603416015,-0.21618793418400895,81.31392671009772,81.31269500456881,0.001231705528908833,0.8302927340908733,0.8320916157655152,0.7745966692414834,3.616691209108323,0.20114552981682632,3.6166944766903213,-0.015386923439797418,0.0072634766903216,9.034727626033856e-05,9.862749283122332e-07,0.0007349620396752761,3.609431,3.6094323643641,1159.2450759716326,1159.2476891746335,0.013968608615130051,0.013968608615130051,4.4011781215667725
sweep_L80,80.0,0.75,25745,41057,4.277407,4.285221636178741,-0.18236247368780267,71.69622145214521,71.69380175798102,0.002419694164188968,0.7424899442845259,0.7438464410548723,1.0327955589886446,4.2846132667728645,0.1684727867342195,4.284618155065429,-0.014082844822227436,0.0072111550654286784,0.00011408946993807234,6.441218332424448e-07,0.0007510339410605703,4.277407,4.277405823879,1536.235360537012,1536.238807605409,0.01388153677881121,0.01388153677881121,5.4256062507629395
sweep_L100,100.0,0.75,32277,51367,4.72476,4.732669280095895,-0.16712091269844853,62.724644554455445,62.721695556486736,0.002948997968708511,0.6585387270260434,0.6596411252951712,1.2909944487358058,4.7320529569667436,0.15435613590413233,4.732058123492951,-0.012913570899919513,0.007298123492951867,0.00010918149595529059,6.410956189692165e-07,0.0007132840998505264,4.72476,4.72475998558,1913.2256590320467,1913.2299260361842,0.013762828550326844,0.013762828550326844,7.720174074172974
sweep_L120,120.0,0.75,38127,60643,5.01204,5.019737068914257,-0.15333609726140285,54.960355775577554,54.95721757486422,0.003138200713337369,0.5835873367896136,0.5844835610712947,1.5491933384829668,5.0191313319506845,0.1414859408680913,5.019136322218337,-0.011967692484138315,0.00709632221833754,9.942492680270476e-05,7.79998889983871e-07,0.0007683761676451744,5.01204,5.0120407219169,2290.2157971603665,2290.221044466959,0.01373466649205568,0.01373466649205568,8.269489049911499
sweep_L140,140.0,0.75,44889,71329,5.190958,5.198842769426903,-0.1516639332366565,48.538284488448845,48.53510554067813,0.0031789477707135916,0.5189896349163212,0.5197779506002985,1.8073922282301282,5.198253903672536,0.1405502350921628,5.198259141112172,-0.01122611974655463,0.007301141112171942,0.00010075382490537521,6.572578007801172e-07,0.0007682355833720321,5.190958,5.190958471499,2667.20618959731,2667.2121628977347,0.013701146634247152,0.013701146634247152,9.956165075302124
