x,T_fe,T_1d,dT
0.0,100.0,100.0,0.0
0.0003749999999999998,99.7656,99.76100155984089,0.004598440159114148
0.0007499999999999996,99.5316,99.52375533407812,0.007844665921879823
0.0011249999999999995,99.2982,99.28825576224241,0.009944237757579799
0.0014999999999999994,99.0659,99.0544973248018,0.011402675198198153
0.0018749999999999993,98.8348,98.82247454303219,0.012325456967815285
0.002249999999999999,98.6052,98.59218197888899,0.013018021111008693
0.0026249999999999984,98.377,98.36361423487972,0.013385765120276005
0.0029999999999999983,98.1504,98.13676595393738,0.013634046062620087
0.0033749999999999982,97.9254,97.91163181929505,0.013768180704943234
0.003749999999999998,97.702,97.68820655436112,0.013793445638881963
0.0041249999999999985,97.4804,97.46648492259568,0.013915077404320186
0.004499999999999998,97.2604,97.24646172738791,0.013938272612094238
0.004874999999999997,97.042,97.02813181193402,0.013868188065984555
0.005249999999999998,96.8254,96.81149005911668,0.013909940883323202
0.005624999999999997,96.6105,96.59653139138487,0.013968608615130051
0.005999999999999997,96.3972,96.38325077063497,0.013949229365024962
0.006374999999999996,96.1856,96.1716431980927,0.0139568019072982
0.006749999999999996,95.9756,95.96170371419583,0.013896285804165132
0.007124999999999995,95.7673,95.75342739847818,0.013872601521825345
0.0074999999999999945,95.5607,95.54680936945398,0.013890630546015359
0.007874999999999995,95.3557,95.34184478450376,0.013855215496235473
0.008249999999999995,95.1524,95.13852883976068,0.01387116023931867
0.008624999999999996,94.9507,94.93685676999797,0.013843230002024143
0.008999999999999996,94.7507,94.73682384851728,0.013876151482719479
0.009374999999999996,94.5523,94.53842538703783,0.013874612962169408
0.009749999999999995,94.3555,94.34165673558661,0.013843264413395673
0.010124999999999995,94.1603,94.14651328238934,0.013786717610670962
0.010499999999999995,93.9668,93.9529904537624,0.013809546237609993
0.010874999999999996,93.7749,93.76108371400564,0.01381628599436624
0.011249999999999994,93.5846,93.57078856529606,0.013811434703939085
0.011624999999999995,93.3959,93.38210054758241,0.013799452417586622
0.011999999999999995,93.2088,93.19501523848064,0.0137847615193607
0.012374999999999995,93.0233,93.00952825317022,0.013771746829789322
0.012749999999999996,92.8394,92.82563524429146,0.013764755708535859
0.013124999999999996,92.6571,92.64333190184358,0.013768098156418773
0.013499999999999996,92.4764,92.4626139530836,0.013786046916393957
0.013874999999999995,92.2972,92.28347716242635,0.013722837573652669
0.014249999999999994,92.1197,92.1059173313451,0.013782668654897634
0.014624999999999994,91.9437,91.92993029827316,0.013769701726843664
0.014999999999999994,91.7692,91.7555119385064,0.013688061493596138
0.015374999999999995,91.5964,91.5826581641065,0.013741835893497978
0.015749999999999993,91.4251,91.41136492380527,0.013735076194734575
0.016124999999999994,91.2553,91.24162820290951,0.013671797090495375
0.016499999999999994,91.0871,91.07344402320705,0.013655976792961155
0.016874999999999994,90.9205,90.9068084428735,0.013691557126506382
0.017249999999999995,90.7554,90.7417175563798,0.01368244362019766
0.017624999999999995,90.5918,90.57816749440074,0.013632505599261435
0.017999999999999995,90.4298,90.41615442372425,0.01364557627574925
0.018374999999999996,90.2693,90.2556745471616,0.013625452838397223
0.018749999999999992,90.1104,90.09672410345833,0.01367589654167034
