x_m,fe_mode1_uz,theory_mode1,fe_mode2_uy,theory_mode2,fe_mode3_uz,theory_mode3,fe_mode4_uz,theory_mode4
0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
0.00125,1.5729115531194557e-05,1.204783274311172e-05,2.0918447175226144e-05,1.204783274311172e-05,0.0001414954477722091,0.00010842875289196474,0.0003926725830399259,0.00030118130379575003
0.0025,4.551098932440854e-05,4.819104067199653e-05,5.286990251125716e-05,4.819104067199653e-05,0.00040959195202654826,0.00043369149797878315,0.0011377157128115779,0.001204543794827595
0.00375,9.926356826739934e-05,0.00010842875289196474,0.00011473856825399907,0.00010842875289196474,0.000893504421867073,0.0009757176995928152,0.0024826756967598713,0.002709543321309793
0.005,0.00017552259388389042,0.00019275951793518153,0.00019079551465420858,0.00019275951793518153,0.0015797028971185484,0.0017343898152840653,0.004388052362210849,0.004815273327803071
0.00625,0.0002747124649741837,0.00030118130379575003,0.000298117632962077,0.00030118130379575003,0.002472252010299147,0.002709543321309793,0.006866452544045687,0.007520465401290033
0.0075,0.0004004230785333535,0.00043369149797878315,0.00042189264183412637,0.00043369149797878315,0.0036026028774949863,0.003900966748312862,0.010000552764079669,0.010823490035218986
0.00875,0.0005465665812805519,0.0005902869075626871,0.0005766576951663361,0.0005902869075626871,0.0049166703357769416,0.005308401727180501,0.013643924503972883,0.014722357611058778
0.01,0.0007210201632365988,0.000770963759277099,0.000748193070192303,0.000770963759277099,0.006483928836564384,0.006931543045073707,0.01798181089868239,0.01921471959676957
0.01125,0.0009147597682168533,0.0009757176995928152,0.0009509359160179811,0.0009757176995928152,0.008224270812001184,0.008770038711614747,0.022797683144152505,0.02429786996147143
0.0125,0.0011378892722366137,0.001204543794827595,0.0011706107756913617,0.001204543794827595,0.010226617631641628,0.010823490035218986,0.028327618499447753,0.029968746805456026
0.01375,0.0013794367185970254,0.001457436531264289,0.0014214613498653933,0.001457436531264289,0.012393796432226361,0.01309145170955417,0.03431009617772338,0.03622393420456016
0.015,0.0016510325838362862,0.0017343898152840653,0.0016892899379530024,0.0017343898152840653,0.014827803127024659,0.015573431910108404,0.04101408355760206,0.043059664267791176
0.01625,0.0019405374590292757,0.0020353969735134037,0.001988294906323776,0.0020353969735134037,0.017421486500189626,0.018268892400845838,0.04815300018840302,0.050471819406963325
0.0175,0.0022605002615370506,0.0023604507529843,0.0023042958281850275,0.0023604507529843,0.020284382917640176,0.021177248650927627,0.056013056847585424,0.058455934816979194
0.01875,0.002598033319990331,0.002709543321309793,0.002651453212374485,0.002709543321309793,0.023303187756824387,0.02429786996147143,0.06429359781198993,0.06700720116526104
0.02,0.002966273315540525,0.003082666266872036,0.0030155995480026115,0.003082666266872036,0.02659197820066218,0.027630079602323443,0.0732893351793372,0.07612046748871326
0.02125,0.0033518674668827353,0.003479810599025357,0.003410874070790966,0.003479810599025357,0.030033862102979182,0.03117315495881201,0.08269315267385363,0.08579024429646931
0.0225,0.0037683158924403234,0.003900966748312862,0.003823140135971481,0.003900966748312862,0.03374536820024967,0.03492632768845261,0.09280202127052771,0.09601070687655666
0.02375,0.004201975162073292,0.004346124566696696,0.004266506928831925,0.004346124566696696,0.03760773818556766,0.038888783887568334,0.10330736096923268,0.10677569880448468
0.025,0.004666569105100957,0.004815273327803071,0.0047268494685216425,0.004815273327803071,0.04173856517815558,0.043059664267791176,0.11450444389133467,0.11807873565164495
0.02625,0.005148280457949029,0.005308401727180501,0.0052182605340407645,0.005308401727180501,0.046018274130541686,0.04743806434240472,0.12608659964819913,0.12991300889128854
0.0275,0.005660962810084934,0.005825497882571806,0.005726631981109618,0.005825497882571806,0.050564683329041994,0.05202303462248958,0.13834454936245455,0.14227138999972788
0.02875,0.006190693114172764,0.00636654933420111,0.006266040274974748,0.00636654933420111,0.05525816509701842,0.056813580822826726,0.15097606584541387,0.15514643475029288
0.03,0.006751407269651271,0.006931543045073707,0.00682239481581298,0.006931543045073707,0.060216144802127676,0.06180866407751584,0.1642649637799522,0.16853038769745476
0.03125,0.007329115323670964,0.007520465401290033,0.007409753779515234,0.007520465401290033,0.06531942385463578,0.06700720116526104,0.17791549802061604,0.1824151868484163
0.0325,0.007937800968631887,0.00813330221237396,0.00801403324721698,0.00813330221237396,0.07068460478422532,0.07240806474427586,0.19220320820953182,0.19679246851935506
0.03375,0.00856343975088729,0.008770038711614747,0.008649280124161452,0.008770038711614747,0.0761932800618581,0.07801008359675554,0.20684001253715484,0.21165357237339377
0.035,0.009220030614431603,0.009430659556422749,0.00930142776759186,0.009430659556422749,0.08196097959360263,0.08381204288286404,0.22209189832459592,0.226989546637263
0.03625,0.009893545047790686,0.010115148828699017,0.00998450846237103,0.010115148828699017,0.08787032631243293,0.08981268440418222,0.23767966445826066,0.24279115349351532
0.0375,0.010597978432779445,0.010823490035218986,0.010684463866046743,0.010823490035218986,0.09403549350308392,0.09601070687655666,0.25385891293187934,0.2590488746450408
0.03875,0.011319303700861219,0.01155566610803005,0.011415299396219466,0.01155566610803005,0.10034036705284956,0.10240476621229311,0.2703601098383825,0.275752917048533
0.04,0.012071511432551724,0.01231165940486223,0.01216299163741538,0.01231165940486223,0.10689765907434752,0.1089934758116321,0.28742759101680593,0.2928932188134524
0.04125,0.012840580629842604,0.01309145170955417,0.012941523604740664,0.01309145170955417,0.11359260239943111,0.11577540686344379,0.3048023826355796,0.31045945526293295
