x_m,fe_mode1,theory_mode1,fe_mode2,theory_mode2,fe_mode3,theory_mode3
0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.00125,2.4558315329696956e-05,1.7143426758322055e-05,-0.0001866268685077865,-0.00010705449349283081,0.000603007008657078,0.0002987929539532896
0.0025,6.922879656013656e-05,6.847524076209762e-05,-0.0005003587578686826,-0.0004260747858865188,0.001563483693732337,0.0011853199289549327
0.00375,0.00014792417566408353,0.00015384774263032676,-0.0010247443944329038,-0.0009538461012336107,0.00310548117692042,0.0026448032296961118
0.005,0.00025815858265652804,0.000273113233069037,-0.0017379661443271484,-0.001687153684925964,0.005152488543070597,0.004662465625829065
0.00625,0.00040067533992564397,0.00042612401297262395,-0.002646891978979291,-0.00262278282810709,0.007729145005396162,0.007223530880895866
0.0075,0.000580093241318785,0.0006127323835637451,-0.0037724459518468636,-0.0037575189016015786,0.010873817489618881,0.01031322448388701
0.00875,0.0007880259203068958,0.0008327906465744274,-0.005066886404581934,-0.0050881473992126355,0.014465180933967543,0.01391677457806693
0.01,0.001035033407778722,0.00108615110446534,-0.0065855254422050044,-0.006611453990238219,0.018630501776221442,0.018019413081702414
0.01125,0.0013087211894503665,0.001372666060685692,-0.008258376189538142,-0.00832422458105802,0.023193552318772754,0.022606376995332085
0.0125,0.001622657995990287,0.001692187819971779,-0.010156862260134422,-0.010223245385642149,0.02831971419858888,0.0276629098902147
0.01375,0.001961838452739189,0.0020445686886845474,-0.012197336210454813,-0.012305303004831751,0.033801409837669924,0.03317426357259882
0.015,0.0023418428446835625,0.002429660975186688,-0.014461128091183823,-0.014567184514244148,0.039824825002384295,0.03912569991845584
0.01625,0.002746168841143271,0.0028473169902574124,-0.01685791078946506,-0.01700567756065321,0.04617065318145874,0.045502492873322815
0.0175,0.0031915437694657184,0.003297389047547318,-0.019473481214356717,-0.01961757046669506,0.053030759075421006,0.05228993061190485
0.01875,0.0036605642239730704,0.003779729464069905,-0.022214598822711068,-0.022399652343752706,0.06018426692636753,0.059473317852092124
