mesh,elements,dofs,mode,classification,rank,f_FE_Hz,f_theory_Hz,theory,err_pct,f_timoshenko_Hz,err_vs_timoshenko_pct
40x2x1,80,2319,1,bending z (weak),1,51.15133,50.96129416174275,Euler-Bernoulli,0.3729023004284577,50.9362734250687,0.4222071236673182
40x2x1,80,2319,2,bending y (strong),1,101.9467,101.9225883234855,Euler-Bernoulli,0.023656852628174508,101.72294870597798,0.21996147070879543
40x2x1,80,2319,3,bending z (weak),2,319.7282,319.36897812300964,Euler-Bernoulli,0.1124786380635929,318.28031955320756,0.4549073121533071
40x2x1,80,2319,4,bending y (strong),2,631.6678,638.7379562460193,Euler-Bernoulli,-1.10689464699606,630.168196994438,0.2379686903773317
40x2x1,80,2319,5,bending z (weak),3,891.6115,894.24238795231,Euler-Bernoulli,-0.2942030022010426,887.0355979204173,0.5158645369261929
40x2x1,80,2319,6,torsion x,1,1488.034,1449.4218970304528,Saint-Venant torsion,2.6639657541158335,,
40x2x1,80,2319,7,bending z (weak),4,1737.054,1752.3581737344477,Euler-Bernoulli,-0.8733473535169445,1726.5638156980212,0.6075758223705061
40x2x1,80,2319,8,bending y (strong),3,1737.76,1788.48477590462,Euler-Bernoulli,-2.8361871785552792,1733.1145878274403,0.26803837468028807
40x2x1,80,2319,9,bending z (weak),5,2850.305,2896.773623555496,Euler-Bernoulli,-1.6041510174502642,2829.7550963693584,0.7262078494710529
40x2x1,80,2319,10,axial x,1,3158.906,3154.71540703168,axial rod,0.13283584817125632,,
80x4x2,640,12591,1,bending z (weak),1,51.07084,50.96129416174275,Euler-Bernoulli,0.21495890176879529,50.9362734250687,0.2641861406081398
80x4x2,640,12591,2,bending y (strong),1,101.9018,101.9225883234855,Euler-Bernoulli,-0.02039618874230894,101.72294870597798,0.17582197163686777
80x4x2,640,12591,3,bending z (weak),2,319.1364,319.36897812300964,Euler-Bernoulli,-0.07282426877418215,318.28031955320756,0.26897058793775214
80x4x2,640,12591,4,bending y (strong),2,631.327,638.7379562460193,Euler-Bernoulli,-1.16024986045527,630.168196994438,0.18388789073915726
80x4x2,640,12591,5,bending z (weak),3,889.5737,894.24238795231,Euler-Bernoulli,-0.5220830521130384,887.0355979204173,0.2861330577412083
80x4x2,640,12591,6,torsion x,1,1458.9,1449.4218970304528,Saint-Venant torsion,0.6539229874314622,,
80x4x2,640,12591,7,bending z (weak),4,1732.009,1752.3581737344477,Euler-Bernoulli,-1.1612451175481802,1726.5638156980212,0.3153769500131318
80x4x2,640,12591,8,bending y (strong),3,1736.608,1788.48477590462,Euler-Bernoulli,-2.9005992448764677,1733.1145878274403,0.20156844775848295
80x4x2,640,12591,9,bending z (weak),5,2839.797,2896.773623555496,Euler-Bernoulli,-1.9668994184489692,2829.7550963693584,0.3548682938507867
80x4x2,640,12591,10,axial x,1,3158.557,3154.71540703168,axial rod,0.1217730436082121,,
160x8x4,5120,80043,1,bending z (weak),1,51.05579,50.96129416174275,Euler-Bernoulli,0.18542668472534873,50.9362734250687,0.23463941685314255
160x8x4,5120,80043,2,bending y (strong),1,101.8807,101.9225883234855,Euler-Bernoulli,-0.041098174776083886,101.72294870597798,0.15507935626009792
160x8x4,5120,80043,3,bending z (weak),2,319.0337,319.36897812300964,Euler-Bernoulli,-0.10498143087663715,318.28031955320756,0.23670343420856851
160x8x4,5120,80043,4,bending y (strong),2,631.1838,638.7379562460193,Euler-Bernoulli,-1.182669069866527,630.168196994438,0.16116379887241983
160x8x4,5120,80043,5,bending z (weak),3,889.2558,894.24238795231,Euler-Bernoulli,-0.5576326977441246,887.0355979204173,0.2502945862361977
160x8x4,5120,80043,6,torsion x,1,1457.184,1449.4218970304528,Saint-Venant torsion,0.5355309579253653,,
160x8x4,5120,80043,7,bending z (weak),4,1731.309,1752.3581737344477,Euler-Bernoulli,-1.201191288969761,1726.5638156980212,0.2748339944828697
160x8x4,5120,80043,8,bending y (strong),3,1736.186,1788.48477590462,Euler-Bernoulli,-2.9241946372267646,1733.1145878274403,0.17721922105622395
160x8x4,5120,80043,9,bending z (weak),5,2838.489,2896.773623555496,Euler-Bernoulli,-2.012053102166738,2829.7550963693584,0.3086452125078752
160x8x4,5120,80043,10,axial x,1,3158.271,3154.71540703168,axial rod,0.11270724961100634,,
