etype,n,elements,nodes,dofs,u_tip_mm,u_over_timoshenko,u_over_euler,x_check_m,sxx_fe_MPa,sxx_theory_MPa,sxx_err_pct,reaction_z_N,equilibrium_err,solve_s
C3D8,1,20,84,252,2.59046,0.6463788005439598,0.647615,0.04,102.403,135.0,-24.145925925925926,500.0,0.0,0.015540122985839844
C3D8,2,160,369,1107,3.5075933333333333,0.8752244665410736,0.8768983333333333,0.04,128.666,135.0,-4.691851851851852,500.0,0.0,0.020328760147094727
C3D8,4,1280,2025,6075,3.8571672,0.9624511122478261,0.9642917999999999,0.04,135.9894,135.0,0.7328888888888889,500.0,0.0,0.10709595680236816
C3D8R,1,20,84,252,111.04799999999999,27.709006525020897,27.761999999999997,0.04,-1.41778e-10,135.0,-100.00000000010502,500.0,0.0,0.01407170295715332
C3D8R,2,160,369,1107,5.25865,1.3121530073733985,1.3146625,0.04,88.9324,135.0,-34.12414814814815,500.0,0.0,0.02014613151550293
C3D8R,4,1280,2025,6075,4.2489924,1.0602204284306262,1.0622481,0.04,107.7454,135.0,-20.18859259259259,500.0,0.0,0.10068202018737793
C3D8I,1,20,84,252,3.98181,0.9935523311666438,0.9954524999999999,0.04,135.667,135.0,0.49407407407407405,500.0,0.0,0.011912107467651367
C3D8I,2,160,369,1107,3.9825133333333342,0.9937278288606376,0.9956283333333334,0.04,135.02366666666666,135.0,0.017530864197523505,500.0,0.0,0.029544830322265625
C3D8I,4,1280,2025,6075,3.9889471999999997,0.995333225206792,0.9972367999999999,0.04,134.9966,135.0,-0.0025185185185185185,500.0,0.0,0.17274880409240723
C3D20,1,20,248,744,3.9681125000000006,0.9901344927825536,0.9920281250000001,0.04,135.32066666666665,135.0,0.2375308641975235,500.0,0.0,0.017943859100341797
C3D20,2,160,1221,3663,3.986827142857143,0.9948042226384897,0.9967067857142857,0.04,135.045,135.0,0.03333333333333333,500.0,0.0,0.06602883338928223
C3D20,4,1280,7265,21795,3.9916363076923087,0.9960042188545181,0.9979090769230772,0.04,135.00022222222222,135.0,0.0001646090534881309,500.0,0.0,0.7254660129547119
C3D20R,1,20,248,744,3.9724875000000033,0.9912261549786043,0.9931218750000008,0.04,134.999,135.0,-0.0007407407407407407,500.0,0.0,0.018292903900146484
C3D20R,2,160,1221,3663,3.9887747619047618,0.995290197972568,0.9971936904761904,0.04,135.0362,135.0,0.026814814814814816,500.0,0.0,0.0693819522857666
C3D20R,4,1280,7265,21795,3.992185846153846,0.996141341223372,0.9980464615384615,0.04,134.996,135.0,-0.002962962962962963,500.0,0.0,0.7047650814056396
C3D20R,6,4320,21973,65919,3.9930434586466164,0.9963553350833073,0.9982608646616541,0.04,134.9953846153846,135.0,-0.0034188034188085132,500.0,0.0,2.775808811187744
C3D4,1,389,166,498,1.5594360000000003,0.38911481791074576,0.38985900000000007,0.04,31.8503,135.0,-76.40718518518518,500.0,0.0,0.01731395721435547
C3D4,2,812,352,1056,2.1223408333333333,0.5295724011161986,0.5305852083333333,0.04,61.54685,135.0,-54.40974074074074,500.0,0.0,0.024389982223510742
C3D4,4,7094,2108,6324,3.3353913333333334,0.832256143458968,0.8338478333333332,0.04,96.08996666666667,135.0,-28.822246913580244,500.0,0.0,0.12047219276428223
C3D10,1,400,897,2691,3.981940769230769,0.9935849610696467,0.9954851923076923,0.04,135.305,135.0,0.22592592592592592,500.0,0.0,0.05075812339782715
C3D10,2,811,1860,5580,3.9891729729729715,0.9953895607083881,0.9972932432432428,0.04,134.9355,135.0,-0.04777777777777778,500.0,0.0,0.09648013114929199
C3D10,4,7186,13126,39378,3.9917837142857144,0.9960410001586253,0.9979459285714286,0.04,134.9892857142857,135.0,-0.007936507936517397,500.0,0.0,0.9859049320220947
