mesh_size_mm,elements,nodes,sigma_load_node_MPa,sigma_clamp_face_max_MPa,sigma_reported_max_MPa,sigma_2H_top_fibre_MPa,deflection_mm,reaction_z_N
10.0,794,350,13.603908474646836,85.77719461600152,85.77719461600152,32.923425,1.73593e-06,500.0
6.0,4403,1362,32.48250236668428,105.43292874646599,121.72010047347932,87.84248,3.17826e-06,500.0
4.0,12871,3417,27.852478009925942,105.03016191334417,132.65905527991407,106.03983333333333,3.52461e-06,500.0
2.5,49556,11279,56.517353298926466,116.64599380087087,138.5438283738959,119.70666666666665,3.80562e-06,500.0
